2024-04-25 06:08:25,707 INFO    StreamThr :152653 [internal.py:wandb_internal():86] W&B internal server running at pid: 152653, started at: 2024-04-25 06:08:25.705216
2024-04-25 06:08:25,713 DEBUG   HandlerThread:152653 [handler.py:handle_request():146] handle_request: status
2024-04-25 06:08:25,741 INFO    WriterThread:152653 [datastore.py:open_for_write():87] open: /home/hail09/Documents/hail_moon/ImageNet10_experiments/tsne/wandb/run-20240425_060825-mf8sd4nt/run-mf8sd4nt.wandb
2024-04-25 06:08:25,743 DEBUG   SenderThread:152653 [sender.py:send():379] send: header
2024-04-25 06:08:25,744 DEBUG   SenderThread:152653 [sender.py:send():379] send: run
2024-04-25 06:08:26,356 INFO    SenderThread:152653 [dir_watcher.py:__init__():211] watching files in: /home/hail09/Documents/hail_moon/ImageNet10_experiments/tsne/wandb/run-20240425_060825-mf8sd4nt/files
2024-04-25 06:08:26,357 INFO    SenderThread:152653 [sender.py:_start_run_threads():1124] run started: mf8sd4nt with start time 1714025305.705098
2024-04-25 06:08:26,399 DEBUG   HandlerThread:152653 [handler.py:handle_request():146] handle_request: check_version
2024-04-25 06:08:26,400 DEBUG   SenderThread:152653 [sender.py:send_request():406] send_request: check_version
2024-04-25 06:08:26,566 DEBUG   HandlerThread:152653 [handler.py:handle_request():146] handle_request: run_start
2024-04-25 06:08:26,604 DEBUG   HandlerThread:152653 [system_info.py:__init__():26] System info init
2024-04-25 06:08:26,604 DEBUG   HandlerThread:152653 [system_info.py:__init__():41] System info init done
2024-04-25 06:08:26,604 INFO    HandlerThread:152653 [system_monitor.py:start():194] Starting system monitor
2024-04-25 06:08:26,605 INFO    SystemMonitor:152653 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-25 06:08:26,606 INFO    HandlerThread:152653 [system_monitor.py:probe():214] Collecting system info
2024-04-25 06:08:26,608 INFO    SystemMonitor:152653 [interfaces.py:start():190] Started cpu monitoring
2024-04-25 06:08:26,610 INFO    SystemMonitor:152653 [interfaces.py:start():190] Started disk monitoring
2024-04-25 06:08:26,614 INFO    SystemMonitor:152653 [interfaces.py:start():190] Started gpu monitoring
2024-04-25 06:08:26,616 INFO    SystemMonitor:152653 [interfaces.py:start():190] Started memory monitoring
2024-04-25 06:08:26,620 INFO    SystemMonitor:152653 [interfaces.py:start():190] Started network monitoring
2024-04-25 06:08:26,657 DEBUG   HandlerThread:152653 [system_info.py:probe():150] Probing system
2024-04-25 06:08:26,667 DEBUG   HandlerThread:152653 [gitlib.py:_init_repo():56] git repository is invalid
2024-04-25 06:08:26,668 DEBUG   HandlerThread:152653 [system_info.py:probe():198] Probing system done
